mies mjes
golosina go.loˈsi.na
periscopio pe.ɾis.ˈko.pjo
crehuela kɾeˈɰwe.la
admonitorio ad̪.mo.niˈto.ɾjo
claustro klawsˈtɾo
objetivo oβ.xeˈti.βo
logopedia lo.goˈpe.ðia
esquimal es.kiˈmal
bastardo basˈtaɾ.ðo
ensarnecer en.saɾ.neˈseɾ
espergurar es.peɾ.ɰuˈɾaɾ
igualanza i.ɣwaˈlan.sa
perversidad peɾ.βeɾ.siˈðað
declamatorio de.kla.maˈto.ɾjo
caos ˈka.os
bebedor be.βe.ˈðoɾ
cheposo tʃe.ˈpo.so
largo ˈlaɾ.go
coalescencia ko.a.leˈsen.sja
alcaparral al.ka.paˈral
soberado so.βeˈɾa.ðo
lealtad le.alˈtað
cefalea se.fa.ˈle.a
amodorrecer a.mo.ðo.reˈseɾ
nuclear nu.kle.ˈaɾ
atorrante a.toˈran.te
tauro ˈtaw.ɾo
despeadura des.pe.aˈðu.ɾa
encanar eŋ.kaˈnaɾ
marginalidad maɾ.xi.na.liˈðað
muletilla mu.leˈti.ʎa
folclorista fol.kloˈɾis.ta
balizamiento ba.li.saˈmjen̪.to
triturar tɾi.tuˈɾaɾ
polir poˈlir
entremeter en̪.tɾe.meˈteɾ
ductilidad duk.ti.li.ˈðað
guardapolvo gwaɾ.ðaˈpol.βo
antioxidante an̪.ti.o.ksiˈdan̪.te
vampiresa bam.piˈɾe.sa
baranda baˈɾan.da
voluptuosamente bo.lupˈtwo.saˈmen̪.te
preocupadamente pɾe.o.kuˈpa.ðaˈmen.te
obscurecer oβs.ku.ɾeˈseɾ
cebra ˈse.βɾa
juntar χun'taɾ
cargador kaɾ.ɰaˈðoɾ
rebanar re.βaˈnaɾ
morbo ˈmoɾ.βo
activismo ak.tiˈβis.mo
vulgaridad bul.ɰa.ɾiˈðað
presenciar pɾe.senˈsjaɾ
vestugo besˈtu.ɣo
disgustoso dis.gusˈto.so
acetosidad a.se.to.siˈðað
uniformidad u.ni.foɾ.miˈðað
dimorfismo di.moɾˈfis.mo
adinamia a.ðiˈna.mja
complicar kom.pliˈkaɾ
dignificar dig.ni.fiˈkar
negar neˈɰaɾ
pergenio peɾˈxe.njo
coplanario ko.pla.ˈna.ɾjo
derogatorio de.ɾo.ɣaˈto.ɾjo
perfectibilidad peɾ.fek.ti.βi.liˈðað
acarreador a.ka.reaˈðoɾ
compositivo kom.po.siˈti.βo
ampolla amˈpo.ʎa
suponer su.poˈneɾ
gravitatorio gɾa.βi.taˈto.ɾjo
voltejear boɭ.te.xe ˈaɾ
embarrancar em.ba.raŋˈkaɾ
edema eˈðe.ma
mesa ˈme.sa
husero uˈse.ɾo
refulgir re.fulˈxiɾ
embelesar em.be.leˈsaɾ
idus ˈi.ð̞us
consistente kon.sisˈten̪.te
trillo ˈtɾi.ʎo
chalar tʃa.ˈlaɾ
sospechar sos.peˈʧaɾ
banquina baŋˈki.na
flirtear fliɾ.teˈaɾ
seco ˈse.ko
canonesa ka.noˈne.sa
abolengo a.βoˈleŋ.go
ramoso ra.ˈmo.so
fugaz fuˈɣas
distanciar dis.tanˈsjaɾ
purga ˈpuɾ.ɰa
orejano o.ɾe.ˈxa.no
ictiosis ikˈtjo.sis
porquerizo poɾ.keˈɾi.so
huerto ˈweɾ.to
verificar be.ɾi.fiˈkaɾ
kilo ˈki.lo
pichona piˈtʃo.na
sumerio suˈme.ɾjo
abrazada a.βɾaˈsa.ða
cubil kuˈβil
cooptar ko.op.ˈtaɾ
empedernecer em.pe.ðeɾ.neˈseɾ
desperar des.peˈɾaɾ
morar mo.ˈɾaɾ
pasodoble pa.soˈðo.βle
virtuoso biɾ.ˈt̪wo.so
caramida ka.ɾaˈmi.ða
bailotear baj.lo.teˈaɾ
bufido buˈfi.ðo
fosfeno fosˈfe.no
vichar biˈtʃaɾ
toponimia to.poˈni.mja
precipuo pɾeˈsi.pwo
sotavento so.ta.ˈβen.to
rengar reŋˈgaɾ
acafresna a.kaˈfɾes.na
brujir bruˈxiɾ
danubiano da.nuˈβja.no
fatigadamente fa.tiˈɣa.ðaˈmen̪.te
palabrear pa.la.βɾeˈaɾ
lumpen ˈlum.pen
abril aˈβɾil
adonecer a.ðo.neˈseɾ
helio ˈe.ljo
cadera kaˈðe.ɾa
sierpe ˈsjeɾ.pe
espantosamente es.pan̪ˈto.saˈmen̪.te
puto ˈpu.to
gruta ˈɣɾu.ta
siderurgia si.ðeˈɾuɾ.xja
bombardeo bom.baɾˈðe.o
motor moˈtoɾ
moniato moˈnja.to
aniquilamiento a.ni.ki.laˈmjen̪.to
tez ˈtes
amorecer a.mo.ɾeˈseɾ
runrunear run.ru.neˈaɾ
afuerino a.fweˈɾi.no
guardafuego gwaɾ.ðaˈfwe.ɰo
fraude ˈfɾaw.ðe
requerir re.keˈɾiɾ
tubular tu.βu.ˈlaɾ
meridiano me.ɾiˈðja.no
caviloso ca.βiˈlo.so
guarir gwaˈɾiɾ
superar su.peˈɾaɾ
picaraza pi.kaˈɾa.sa
trastocar t̪ɾas.t̪oˈkaɾ
ir iɾ
inflorescencia in.flo.ɾeˈsen.sja
delantal de.lan.ˈtal
musical mu.si.ˈkal
agozcado a.ɣosˈka.ðo
abolorio a.βoˈlo.ɾjo
tandear taŋ.deˈaɾ
rubidio ruˈβi.ðjo
brida ˈbɾi.ða
cascatreguas ˌkas.kaˈtɾe.ɣwas
azimutal a.si.muˈtal
trote ˈtɾo.te
consorte konˈsoɾ.te
sintaxis sin.ˈta.ksis
gorrino goˈri.no
eludible e.luˈði.βle
aguacero a.ɣwaˈse.ɾo
alejar a.leˈxaɾ
remolonear re.mo.lo.neˈaɾ
luz ˈlus
estirpe esˈtiɾ.pe
cheque ˈt͡ʃe.ke
fisgonear fis.ɣo.neˈaɾ
camote kaˈmo.te
camboyano kam.bo.ˈʝa.no
mojar moˈxaɾ
talpa ˈtal.pa
agarrochear a.ɣa.ro.tʃeˈaɾ
riqueza riˈke.sa 
soponcio soˈpon.sjo
abordaje a.βoɾ.ða.xe
debocar de.βoˈkaɾ
solideo so.li.ˈðe.o
formalidad foɾ.ma.liˈðað
catalpa ka.ˈtal.pa
aclimatable a.kli.maˈta.βle
elegibilidad e.le.xi.βi.liˈðað
tabletear ta.βle.teˈaɾ
boqui ˈbo.ki
abastardar a.βas.taɾˈðaɾ
justicia xusˈti.sja
comulgar ko.mulˈɰaɾ
zeugma ˈseuɰ.ma
dislalia dis.ˈla.lja
movible moˈβi.ble
sencillo senˈsi.ʝo
poliginia po.liˈxi.nja
dendrita denˈdɾi.ta
amarraje a.maˈra.xe
embolia emˈβo.lja
clarar klaˈɾaɾ
desencofrar de.seŋ.ko.ˈfɾaɾ
decimoctavo de.si.mok.ta.bo
estufero es.tuˈfe.ɾo
gaviero gaˈβje.ɾo
sabelotodo ˌsa.βe.loˈto.ðo
adelfal aˈðel.fal
mandioca man̪ˈdjo.ka
adolorido a.ðo.loˈɾi.ðo
intermaxilar ˌin̪.teɾ.ma.ksiˈlaɾ
juglar xuˈɤlaɾ
franela fra'ne.la
alquiler al.kiˈleɾ
impedimento im.pe.ði.ˈmen.to
aguachinar a γwa t∫i ˈnar
fecundador fe.kun̪.daˈðoɾ
exclamar eks.klaˈmaɾ
gallego gaˈʎe.ɰo
pretextar pɾe.teksˈtar
solicitud so.li.siˈtuð
engarzar en.gaɾˈsaɾ
cuarta ˈkwar.ta
egestad e.xesˈtað
parcelable paɾ.seˈla.βle
calentador ka.len.taˈðoɾ
apocar a.poˈkaɾ
ponche ˈpoɲ.tʃe
ciento ˈsjen.to
brazo ˈbɾa.so
inclusivo iŋ.kluˈsi.βo
analizar a.na.liˈsaɾ
bachillerato ba.tʃi.ʎeˈɾa.to̞
culebra kuˈle.βɾa
apenar a.peˈnaɾ
barco ˈbaɾ.ko
circunstancia siɾ.kuns.ˈtan.sja
despercudir des.peɾ.kuˈðiɾ
rebrotar re.βɾoˈtaɾ
marjoleto maɾ.xoˈle.to
documento do.kuˈmen.to
aterir a.teˈɾiɾ
descobijar des.ko.βiˈxar
cedular se.ðuˈlaɾ
quietamente kje.taˈmen̪.te
acrostolio a.kɾosˈto.ljo
tranca ˈtɾaŋ.ka
raspar ras.ˈpaɾ
burocratizar bu.ɾo.kɾa.ti.ˈsaɾ
encrucijada en.kɾu.si.ˈxa.ða
vecindad be.sin̪ˈdað
nostalgia nos.ˈtal.xja
alcanzadizo al.kan.saˈði.so
coima ˈkoj.ma
pututo puˈtu.to
circundante siɾ.kun̪ˈðan̪.te
trapo ˈtɾa.po
esfera esˈfe.ɾa
incompetente iŋ.kom.peˈten̪.te
pinche ˈpintʃe
atmosfera at.mosˈfe.ɾa
rabiar raˈβjaɾ
suave ˈswa.βe
urdimbre uɾ.ˈðim.βɾe
enfermar en.feɾˈmaɾ
borrasca boˈras.ka
bambuco bamˈbu.ko
buscavida bus.kaˈβi.ða
las las
abubo aˈβu.βo
trufa ˈtɾu.fa̠
quiche ˈki.tʃe
guardable gwaɾˈða.βle
carambolo ka.ɾamˈbo.lo
xantoma ksan.ˈto.ma
exuberante e.ksu.βeˈɾan.te
sarracino sa.raˈsi.no
comicidad ko.mi.siˈðad
cualquiera kwalˈkje.ɾa
practicable pɾak.tiˈka.βle
bajamente ˈba.xaˈmen̪.te
trasmundo tɾasˈmun̪.do
rechiflar re.tʃiˈflaɾ
predeterminar pɾe.ðe.teɾ.miˈnaɾ
sobregirar so.βɾe.xiˈɾaɾ
patero paˈte.ɾo
higroscopia i.gɾos.ˈko.pja
degenerativo de.xe.ne.ɾaˈti.βo
coyuntero ko.ʝun̪ˈte.ɾo
amotinar a.mo.tiˈnaɾ
entablerarse en̪.ta.βleˈɾaɾ.se
rasgador ras.ɣaˈðoɾ
vitriolo bi.ˈtɾjo.lo
sumiso suˈmi.so
leyenda leˈʝen.da
piojo ˈpjo.xo
culebrina ku.leˈβɾi.na
estatal es.taˈtal
lugarteniente lu.ˌɰaɾ.te.ˈnjen.te
cantizal kan̪.tiˈsal
malestar mal.es.tar
dulero duˈle.ro
nectario nekˈta.ɾjo
babazorro ba.βaˈso.ro
reina ˈrej.na
trenzar tɾenˈsaɾ
bucle bu.kle
acoquinamiento a.ko.ki.naˈmjen̪.to
pueril pweˈɾil
charanga ʧaˈɾaŋ.ɰa
heraclida e.ɾaˈkli.ða
incredibilidad iŋ.kɾe.ði.βi.liˈðað
cumulador a.ku.mu.laˈðoɾ
anchoar aɲ.tʃoˈaɾ
proyectivo pɾo.ʝekˈti.βo
volapuk bo.laˈpuk
hispanoamericano isˌpa.no.a.me.ɾiˈka.no
acubado a.kuˈβa.ðo
traedura tɾa.eˈðu.ɾa
vitando ˈan̪.do
anhelar a.neˈlaɾ
bachicha baˈtʃi.tʃa
abarrancamiento a.βa.ran.ka.ˈmjen.to
compadrar kom.paˈðɾaɾ
salitrera sa.li.ˈtɾe.ɾa
whisky ˈwis.ki
vincha ˈbiɲ.tʃa
cabeciduro ka.βe.siˈðu.ɾo
camarada ka.maˈɾa.ða
recopilar re.ko.piˈlaɾ
brujulear bɾu.xu.leˈaɾ
popayanejo po.pa.ʝaˈne.xo
ruidosamente rwiˈðo.saˈmen̪.te
graciosamente gɾaˈsjo.saˈmen̪.te
cubata kuˈβa.ta
gentileza xen.tiˈle.sa
romanticismo ro.man̪.tiˈsis.mo
festividad fes.ti.βiˈðað
irracional i.ra.sjoˈnal
amurada a.muˈɾa.ða
conveniente kon.βeˈnjen̪.te
acernadar a.seɾ.naˈðaɾ
pendiente penˈdjen.te
fumante fu.ˈman.te
volumen boˈlu.men
impenitente im.pe.niˈten̪.te
hipotecar i.po.teˈkaɾ
argentinismo aɾ.xen̪.tiˈnis.mo
convexo komˈbe.kso
acotar a.koˈtaɾ
indiferente in.di.feˈɾen.te
cinco ˈsiŋ.ko
abraxas aˈβɾa.ksas
falansterio fa.lansˈte.ɾjo
chango ˈtʃaŋ.go
servicial seɾ.βiˈsjal
alhaja aˈla.xa
sabio ˈsa.βjo
iconoclasta i.ko.no.ˈklas.ta
zumiento suˈmjen̪.to
apesarar a.pe.saˈɾaɾ
irrelevante i.re.le.ˈβan.te
delirio deˈli.ɾjo
cartivana kaɾ.tiˈβa.na
craneal kɾa.ne.ˈal
amolar a.moˈlaɾ
derrape deˈra.pe
exponedor eks.po.neˈðoɾ
idealista i.ðe.a.ˈlis.ta
menina meˈni.na
vega ˈbe.ɰa
estrechamiento es.tɾe.tʃaˈmjen.to
delator de.laˈtoɾ
respetuosidad res.pe.two.siˈðað
noria ˈno.ɾja
parqui ˈpaɾ.ki
monema moˈne.ma
asta as.ˈta
garufa gaˈɾu.fa
arribista arriˈbis.ta
holgar olˈɣaɾ
conciliable kon.siˈlja.βle
burbuja buɾˈbu.xa
torno ˈtoɾ.no
emperchar em.peɾˈtʃaɾ
marketing ˈmaɾ.ke.tiŋ
remachar re.maˈʧaɾ
yaguasa ʝaˈɰwa.sa
caquexia kaˈkek.sja
gritonear gɾi.to.neˈaɾ
aterrorizar a.te.ro.ɾiˈsaɾ
abisinio a.βi.ˈsi.njo
acaloradamente a.ka.loˈɾa.ðaˌmen̪.te
auxilio awˈksi.ljo
judas ˈxu.ðas
almizcle al.ˈmis.kle
fundamentar fun.ða.menˈtaɾ
escopeta es.koˈpe.ta
relajar re.laˈxaɾ
guerrear ge.reˈaɾ
avellano a.βeˈʎa.no
corveta koɾˈβe.ta
verborragia beɾ.βoˈra.xja
diodo ˈdjo.ðo
adorable a.ðoˈɾa.βle
repentizar re.pen.tiˈsaɾ
rabo ˈra.βo
afirmador a.fiɾ.maˈðoɾ
cuadriplicar kwa.ðɾi.pliˈkaɾ
silenciar si.lenˈsjaɾ
costra ˈkos.tɾa
esos ˈe.sos
electromagnetismo e.lek.tro.maχ.ne'tis.mo
contener kon̪.teˈneɾ
adquirible að.kiˈɾi.βle
androfobia an.dɾoˈfo.βja
baladro baˈla.ðɾo
pinolero pi.noˈle.ɾo
liberiano li.βeˈɾja.no
acuartar a.kwaɾˈtaɾ
causal kawˈsal
substituir sus.tiˈtwiɾ
aliancista a.ljanˈsis.ta
jumento xu.ˈmen.to
tibetano ti.β̞e.ˈta.no
velada beˈla.ða
triglifo tri ˈγli fo
incompensable iŋ.kom.penˈsa.βle
dialogar dja.loˈɣaɾ
repugnancia re.puɰˈnan.sja
acornar a.koɾˈnaɾ
asilo aˈsi.lo
arteritis aɾ.te.ˈɾi.tis
entumirse en̪.tuˈmiɾ.se
ajomate a.xoˈma.te
claqueta kla.ˈke.ta
charrar t͡ʃaˈraɾ
mortalidad moɾ.ta.liˈðað
prestancia pɾes.ˈtan.̟sja
verruga beˈru.ɰa
sangrante saŋˈgɾan̪.te
rechazamiento re.tʃa.saˈmjen.to
superbamente suˈpeɾ.βaˈmen.te
virtual biɾˈtwal
imperialismo im.pe.ɾjaˈlis.mo
b be
dique ˈdi.ke
calamitosamente ka.la.miˈto.saˈmen̪.te
estoicismo es.tojˈsis.mo
aeropostal a.e.ɾo.posˈtal
divertido di.βeɾˈti.ðo
boquisucio bo.kiˈsu.sjo
tren ˈtɾɛn
onecer o.neˈseɾ
espasmo es.ˈpas.mo
taxi ˈta.ksi
gendarme xenˈdaɾ.me
desarrollar de.sa.roˈʎaɾ
acertijo a.seɾˈti.xo
perica peˈɾi.ka
absolver aβ.sol.ˈβeɾ
flaquear fla.keˈaɾ
abozo aˈβo.so
apero aˈpe.ɾo
clandestino klan.desˈti.no
animalada a.ni.ma.ˈla.ða
adufe aˈðu.fe
arropamiento a.ro.paˈmjen̪.to
insistentemente in.sisˌten̪.teˈmen̪.te
proyectista pɾo.ʝekˈtis.ta
desheredar de.se.ɾeˈðaɾ
raro ˈra.ɾo
historiar is.toˈɾjaɾ
unisex u.niˈseks
electrificar e.lek.tɾi.fiˈkaɾ
argadillo aɾ.ɰaˈdi.ʎo
jade ˈxa.ðe
anteantier an̪.tjan̪ˈtjeɾ
lauro ˈlaw.ɾo
alveolar al.βe.oˈlaɾ
interrogativo ˌin̪.te.ro.ɣaˈti.βo
gravitar gɾa.βiˈtaɾ
alectomancia a.lek.toˈman.sja
vate ˈba.te
majestoso ma.xesˈto.so
temporizar tem.po.ɾiˈsaɾ
abrochar a.βɾoˈtʃaɾ
gesticulador xes.ti.ku.laˈðoɾ
sobaco soˈβa.ko
autostopista aw.tos.toˈpis.ta
educado e.ðuˈka.ðo
insalubridad in.sa.lu.βɾiˈðað
estoperol es.to.peˈɾol
enfranquecer eɱ.fɾaŋ.keˈseɾ
disparatar dis.pa.ɾaˈtaɾ
insensible in.sen.ˈsi.βle
sandio ˈsan̪.djo
aclla ˈak.ʝa
agudamente aˈɣu.ðaˈmen̪.te
remodelar re.mo.ðe.ˈlaɾ
enrudecer en.ru.ðeˈseɾ
claudicar klaw.ðiˈkaɾ
agenda aˈxen.da
afresado a.fɾeˈsa.ðo
quemarropa ˌke.maˈro.pa
cachureo ka.tʃu.ˈɾe.o
reflorecer re.flo.ɾeˈseɾ
san san
entrenador en̪.tɾe.naˈðoɾ
fantaseador fan.ta.se.aˈðoɾ
muradal mu.ɾaˈðal
propagador pɾo.pa.ɣaˈðoɾ
individualidad in.di.βi.ðwa.liˈðað
pintura pin.ˈtu.ɾa
evanescente e.βa.nesˈsen.te
acebedo a.seˈβe.ðo
difunto diˈfun.to
soporoso so.poˈɾo.so
funicular fu.ni.ku.ˈlaɾ
visual biˈswal
crueldad kɾwel.ˈdad
zarajo sa.ˈɾa.χo
depravadamente de.pɾaˈβa.ðaˈmen̪.te
aborrecer a.βo.reˈseɾ
imprecar im.pɾeˈkaɾ
hogar oˈɣaɾ
gramo ˈgɾa.mo
hierbatero ʝeɾ.ba.teˈɾo
desactivar de.sak.tiˈβaɾ
aburrarse a.βuˈraɾ.se
extraviar eks.tɾaˈβjaɾ
decencia deˈsen.sja
marsopa marˈso.pa
disonante di.soˈnan̯.te
clarificar kla.ɾi.fiˈkaɾ
abrasar a.βɾaˈsaɾ
trasegador tɾa.se.ɣaˈðoɾ
desazogar de.sa.so.ˈgar
reluctancia re.lukˈtan̟.sja
amigablemente a.miˌɰa.bleˈmen.te
culterano kul.teˈɾa.no
cansino kan.ˈsi.no
dolmen ˈdol.men
huaco ˈgwa.ko
choclo ˈtʃo.klo
agroalimentario a.ɣɾo.a.li.men̪ˈta.rjo
flexible fleˈksi.βle
tenebrosamente te.neˈβɾo.saˈmen̪.te
pepena pe.ˈpe.na
lacra ˈla.kɾa
he e
malicioso ma.liˈsjo.so
tajo ˈta.xo
alegranza a.leˈgɾan.sa
achurar a.tʃuˈɾaɾ
fabulosamente fa.βuˈlo.saˈmen̪.te
oxidrilo ˌok.siˈðɾi.lo
tartamudo taɾ.taˈmu.ðo
ahuizote awiˈso.te
hueva ˈgwe.βa
capucha kaˈpu.tʃa
niebla ˈnje.βla
achatar a.tʃaˈtaɾ
accesorio ak.seˈso.ɾjo
ruina ˈrwi.na
emperador im.pe.ɾaˈðoɾ
antipapa an̪.tiˈpa.pa
software ˈsov.tweɾ
artista aɾˈtis.ta
ballesta baˈʎes.ta
palma ˈpal.ma
apicultor a.pi.kul.ˈtoɾ
genial xeˈnjal
quebrada ke.ˈβ̞ɾa.ða
elevar e.leˈβaɾ
odorable o.ðoˈɾa.βle
ascendiente as.sen.ˈdjen.te
siciliano si.si.ˈlja.no
adversario að.βeɾˈsa.ɾjo
jabardo xa.ˈβaɾ.ðo
glande ˈglan.de
efugio eˈfu.xjo
pelicorto pe.liˈkoɾ.to
abadernar a.βa.ðeɾˈnaɾ
tendinitis ten.diˈni.tis
historiable is.toˈɾja.βle
usufructo u.suˈfɾuk.to
heterodoxo e.te.ɾo.ˈðo.kso
sonoro soˈno.ɾo
ferroviario fe.roˈβja.ɾjo
agnombre ˌaɣˈnom.bɾe
desempacar de.sem.paˈkaɾ
penuria peˈnu.ɾja
oponer o.poˈneɾ
ciquiricata si.ki.ɾiˈka.ta
contrarrestar kon̯.tɾa.res.ˈtaɾ
torero toˈɾe.ɾo
cochero koˈtʃe.ɾo
impresor im.pɾeˈsoɾ
subarriendo su.βaˈrjen̪.do
taita ˈtaj.ta
listeza lisˈte.sa
privadamente pɾiˈβa.ða.men̪.te
peticanon pe.tiˈka.non
pario ˈpa.ɾjo
semental se.menˈtal
mus mus
afronegrismo ˌa.fɾo.neˈɣɾis.mo
gal gal
acicate aˈsi.ka.te
calceta kalˈse.ta
total toˈtal
meticulosamente me.ti.kuˈlo.saˈmen̪.te
terna ˈteɾ.na
clamosidad kla.mo.siˈðað
intuitivamente in̪.twiˈti.βaˈmen̪.te
espontaneidad es.pon.ta.nejˈðað
consistencia kon.sisˈten.sja
che tʃe
sacudidura sa.ku.ðiˈðu.ɾa
tuta ˈtu.ta
separata se.paˈɾa.ta
bandeja banˈde.xa
sinecura si.neˈku.ɾa
velador be.laˈðoɾ
inspector ins.pekˈtoɾ
taxidermia tak.siˈðeɾ.mja
circuncidar siɾ.kun.siˈdar
precipitar pɾe.si.piˈtaɾ
murmujear muɾ.mu.xeˈaɾ
sobaquina so.βaˈki.na
falseta falˈse.ta
venoso be.ˈno.so
andino anˈdi.no
pandemia panˈde.mja
menospreciar me.nos.pɾeˈsjaɾ
zarandar sa.ɾan̪ˈdaɾ
colear ko.leˈaɾ
persistencia peɾ.sisˈten.sja
echacuervos e.tʃaˈkweɾ.βos
octeto okˈte.to
caricaturizar ˌka.ɾi.ka.tu.ɾiˈsaɾ
desaparecer de.sa.pa.ɾeˈseɾ
adquiridor að.ki.ɾiˈðoɾ
mahometismo ma.o.meˈtis.mo
enrabietar en.ra.βjeˈtaɾ
prioritario pɾi.o.ɾiˈta.ɾjo
brinco ˈbɾiŋ.ko
naturismo na.tuˈɾis.mo
vehemente be.eˈmen.te
indianista in.djaˈnis.ta
balsadero bal.sa.ˈd̪e.ɾo
huevada gwe.ˈβa.ða
vitorear bi.to.ɾeˈaɾ
marinesco ma.ɾiˈnes.ko
circunferencia sir.kun.feˈɾen.sja
mutual muˈtwal
enverdecer em.beɾ.ðeˈseɾ
armada ar.ˈma.da
acachorrar a.ka.tʃoˈraɾ
preparar pɾe.paˈɾaɾ
agilidad a.xi.liˈðað
engravecer eŋ.gɾa.βeˈseɾ
guardacostas gwaɾ.ðaˈkos.tas
lucir luˈsiɾ 
malla ˈma.ʝa
esplendidez es.plen̪.diˈðes
alojamiento a.lo.xaˈmjen.to
picaporte pi.kaˈpoɾ.te
indicativo in.di.kaˈti.βo
bestialidad bes.tja.liˈðað
aferir a.feˈɾiɾ
argentar aɾ.xen̪̍ˈtaɾ
aludido a.luˈði.ðo
maquinalmente ma.kiˈnalˈmen̪.te
bocha ˈbo.tʃa
aduana aˈðwa.na
trastero tɾas.ˈte. ɾo
coexistencia ko.ek.sisˈten.sja
cabila kaˈβi.la
descalificar des.ka.li.fiˈkaɾ
maslo ˈmas.lo
altivecer al.ti.βeˈseɾ
narigudo na.ɾiˈɣu.ðo
valeroso ba.leˈɾo.so
rehinchir rejɲˈt͡ʃiɾ
tuca ˈtu.ka
abarbechar a.βaɾ.βeˈt͡ʃaɾ
moraleja mo.ɾaˈle.xa
reconstruir rekonstruˈir
fulgurar ful.guˈɾaɾ
cantante kan̪ˈtan̪.te
solferino sol.feˈɾi.no
abencerraje a.βen.seˈra.xe
horda ˈoɾ.ða
conceptuoso kon.sepˈtwo.so
tina ˈti.na
sismo 'siz.mo
exageradamente e.ksa.xeˈɾa.ðaˈmen̪.te
gorro ˈgo.ro
expresivo eks.pɾeˈsi.βo
emperejilar em.pe.ɾe.xiˈlaɾ
artesonado aɾ.te.soˈna.ðo
tangir taŋˈxiɾ
sobrescribir ˌso.βɾes.kɾiˈβiɾ
cohibir ko.iˈβiɾ
slip ˈslip
lagartero la.ɣaɾˈte.ɾo
aeronaval a.e.ɾo.naˈβal
frutero fɾuˈte.ɾo
acumen aˈku.men
abalorio a.ba.ˈlo.ɾjo
detraer de.tɾaˈeɾ
botica boˈti.ka
estregar es.tɾeˈɣaɾ
rajable raˈxa.βle
distinguir dis.tiŋ.ˈgiɾ
abstener aβs.teˈneɾ
acequiaje a.se.ˈkja.xe
registrar re.xisˈtɾaɾ
contradanza kon.traˈðan.sa
alcista alˈsis.ta
pinrel pinˈrel
cariocinesis ˌka.ɾjo.si.ˈne.sis
manteca manˈte.ka
tranco ˈtɾan.ko
intimidad in.ti.miˈðað
auriense aw.ˈrjen.se
guardacabo gwaɾ.ðaˈka.βo
contrastar kon.tɾasˈtaɾ
castidad kas.ti.ˈðað
castigadera kas.ti.ɰaˈðe.ɾa
pintamonas ˌpin̪.taˈmo.nas
americanada a.me.ɾi.kaˈna.ða
silicosis si.li.ˈko.sis
resultar re.sulˈtaɾ
ahitamiento a.i.taˈmjen.to
chicoco tʃiˈko.ko
rob ˈrob
tienda ˈtjen.ða
ye ˈʝe
vacante baˈkan̪.te
adoquier a.ðoˈkjeɾ
cloro klo.ɾo̞
vaguada ba.ˈɰwa.ða
granda ˈgɾan̪.da
explotador eks.plo.ta.ðoɾ
watt ˈwat
toqui ˈto.ki
incapacitar iŋ.ka.pa.si.ˈtaɾ
batuta baˈtu.ta
pericarditis pe.ɾi.kaɾ.ˈði.tis
materializar ma.te.ɾja.li.ˈsaɾ
radiografiar ra.ðjo.ɣɾaˈfjaɾ
variable baˈɾja.βle
logrero loˈgɾe.ɾo
gravedad gɾa.βeˈðad̪
acivilar a.si.βiˈlaɾ
explotable eks.ploˈta.βle
poblar po.ˈβlaɾ
acroe aˈkɾo.e
matambre maˈtam.bɾe
zurriburri ˌsu.riˈβu.ri
jorobado xo.ɾo.ˈβa.ðo
oligarca o.liˈɣaɾ.ka
electricidad e.lek.tɾi.si.ˈðað
desgano des.ˈɰa.no
abandonista a.βan.doˈnis.ta
galio ˈga.ljo
fandango fanˈdaŋ.go
gestudo xesˈtu.ðo
inhabitado in.a.βiˈta.ðo
sanguina saŋˈgi.na
yerbal ʝeɾˈβal
certamen seɾˈta.men
libreril li.βɾeˈɾil
hada ˈa.ða
abriboca a.βɾiˈβo.ka
efe ˈe.fe
bipartito bi.paɾˈti.to
glosario gloˈsa.ɾjo
forano foˈɾa.no
ayudado a.juˈða.ðo
supersticiosamente su.peɾs.tiˈsjo.saˈmen.te
sitiar siˈtjaɾ
cholero tʃoˈle.ɾo
pierna ˈpjeɾ.na
adorador a.ðo.ɾaˈðor
absentista aβ.sen̪ˈtis,ta
ignominioso iɣ.no.miˈnjo.so
gluten ˈglu.ten
vaga ˈba.ɰa
acusique a.kuˈsi.ke
auditivo aw.ðiˈti.βo
quilla ˈki.ʎa
escuadra esˈkwa.dɾa
pulsista pulˈsis.ta
usuario uˈswa.ɾjo
galeote ga.leˈo.te
geranio xeˈɾa.njo
comandanta ko.manˈdan.ta
cholo ˈʧo.lo
albor alˈβoɾ
texto ˈteks.to
jamacuco ˌxa.maˈku.ko
torera toˈɾe.ɾa
enterar en.te.ˈɾaɾ
predominante pɾe.ðo.miˈnan̪.te
conquiforme kon.kiˈfoɾ.me
historicismo is.to.ɾiˈsis.mo
palomino pa.loˈmi.no
nulidad nu.liˈðað
hucha ˈu.tʃa
absurdo apˈsuɾ.ðo
destablar des.taˈβlaɾ
leguleyo le.ɰuˈle.ʝo
generalizar xe.ne.ɾ a.liˈsaɾ
platino plaˈti.no
ajobero a.xoˈβe.ɾo
semestral se.meș.ˈtral
toche ˈto.tʃe
urdir uɾˈðiɾ
hechura eˈʧu.ɾa
retreparse re.tɾeˈpaɾ.se
abastante a.βasˈtan̪.te
diplococo di.plo.ˈko.ko
desarticular ˌdes.aɾ.ti.kuˈlaɾ
mortuorio moɾˈtwo.ɾjo
abrazamiento a.βɾa.saˈmjen̪.to
usurpar u.suɾˈpaɾ
