aaronita a.a.ɾoˈni.ta
horroroso o.roˈɾo.so
hortaliza oɾ.taˈli.sa
hortelano oɾ.teˈla.no
hosanna o.ˈsa.na
hospedador os.pe.ðaˈðor
hospital os.piˈtal
hospitalidad os.pi.ta.liˈðað
hosquedad os.ke.ˈðað
hostal osˈtal
hostia ˈos.tja
hostilidad os.ti.liˈðað
hotel oˈtel
hoy oj
hoya ˈo.ʝa
hoyo ˈo.ʝo
huaca ˈwa.ka
huacal gwa.ˈkal
huaco ˈgwa.ko
huaino ˈwaj.no
huarache waˈɾa.tʃe
huasca ˈgwas.ka
hucha ˈu.tʃa
huebra ˈwe.β̞ɾa
hueco ˈgwe.ko
huelga ˈwel.ɰa
huelguista gwelˈɰis.ta
huemul we.ˈmul
huerfanidad weɾ.fa.niˈðað
huerta ˈweɾ.ta
huerto ˈweɾ.to
hueso ˈwe.so
hueste ˈɰwes.te
hueva ˈgwe.βa
huevada gwe.ˈβa.ða
huevo 'we.βo
huidizo u.i.ˈði.so
huilense wiˈlen.se
huilte ˈwil.te
huincha ˈgwin.tʃa
huir uˈiɾ
huiro ˈwi.ɾo
hulte ˈul.te
humanidad u.ma.niˈðað
humanismo u.maˈnis.mo
humareda u.ma.ˈɾe.ða
humedad u.meˈðað
humedecer u.me.ðeˈseɾ
humidificador u.mi.ði.fi.kaˈðoɾ
humidificar u.mi.di.fiˈkaɾ
humildad u.milˈdað
humilde uˈmil.de
humillante u.miˈʎan̯.te
humita uˈmi.ta
humus uˈmus
hundir un̪ˈðiɾ
huno ˈu.no
huraco u.ˈɾa.ko
hurra ˈu.ra
hurtar uɾˈtaɾ
hurto ˈuɾ.to
husera uˈse.ɾa
husero uˈse.ɾo
husita uˈsi.ta
huso ˈu.so
ibis ˈi.βis
icaco i.ˈka.ko
iconoclasta i.ko.no.ˈklas.ta
icor iˈkoɾ
ictiosis ikˈtjo.sis
idealismo i.ðe.aˈlis.mo
idealista i.ðe.a.ˈlis.ta
ideario i.ðe.ˈa.ɾjo
identidad i.ðen̪.tiˈðað
identificar i.ðen̪.ti.fiˈkaɾ
idiolecto i.ðjo.ˈlek.to
idioma iˈðjo.ma
idiosincrasia i.ðjo.sinˈkɾa.sja
idiota iˈdjo.ta
idolatrar i.ðo.laˈtɾar
idus ˈi.ð̞us
ignominia ig.noˈmi.nja
ignominioso iɣ.no.miˈnjo.so
ignorancia ˈiɡ.no.ɽan.sia
ignorar ig.no.ˈɾaɾ
ignoto iɰˈno.to
igual iˈɣwal
igualadino i.ɣwa.laˈði.no
igualador i.ɣwa.laˈðoɾ
igualamiento i.ɣwa.laˈmjen̪.to
igualanza i.ɣwaˈlan.sa
igualar i.ɣwaˈlaɾ
igualatorio i.ɣwa.laˈto.ɾjo
igualdad i.ɣwalˈdað
igualeza i.ɣwaˈle.sa
igualitario i.ɣwa.liˈta.ɾjo
igualitarismo i.ɣwa.li.taˈɾis.mo
igualmente iˈɣwalˈmen̪.te
iguana iˈgwa.na
iguanodonte i.ɣwa.noˈðon.te
iguar iˈɣwaɾ
ijada iˈxa.ða
ijadear i.xa.ðeˈaɾ
ijar iˈxaɾ
ilativo i.laˈti.βo
ilegible i.leˈxi.βle
ileso iˈle.so
ilimitado i.li.miˈta.ðo
iluminador i.lu.mi.naˈðoɾ
iluminar i.lu.miˈnaɾ
ilusionar i.lu.sjoˈnaɾ
iluso iˈlu.so
ilustrador i.lus.traˈðoɾ
ilustre iˈlus.tɾe
imagen iˈma.xen
imaginar i.ma.xiˈnaɾ
imam iˈmam
imbecilidad im.be.si.liˈðað
imbele imˈbe.le
imberbe imˈbeɾ.βe
imbricar im.bɾiˈkaɾ
imitar i.miˈtaɾ
impaciente im.paˈsjen.te
impactar im.pakˈtaɾ
impalpable im.palˈpa.βle
imparable im.paˈɾa.βle
imparcial im.paɾ.ˈsjal
imparcialidad im.paɾ.sja.li.ˈðað
impasible im.paˈsi.βle
impedimento im.pe.ði.ˈmen.to
impenitencia im.pe.niˈten̩.cja
impenitente im.pe.niˈten̪.te
impensable im.penˈsa.βle
imperativo im.pe.ɾaˈti.βo
imperdonable im.peɾ.ðoˈna.βle
imperecedero im.pe.ɾe.seˈðe.ɾo
imperial im.peˈɾjal
imperialismo im.pe.ɾjaˈlis.mo
imperialista im.pe.ɾjaˈlis.ta
impericia im.peˈɾi.sja
imperiosamente im.peˈɾjo.saˈmen̪.te
imperioso im.peˈɾjo.so
impermeabilidad im.peɾ.mea.βi.liˈðað
impermeable im.peɾ.meˈa.βle
impersonal im.peɾ.soˈnal
impertinente im.per.tiˈnen̪.te
impetuosamente im.peˈtwo.saˈmen̪.te
implacable im.plaˈka.βle
implacablemente im.plaˈka.βleˈmen̪.te
implementar im.ple.menˈtar
implicar im.pliˈkaɾ
implosivo im.ploˈsi.βo
impoluto im.poˈlu.to
imponer im.poˈneɾ
importancia im.poɾˈtan.sja
importante im.poɾˈtan̪.te
importar im.poɾˈtaɾ
importunadamente im.poɾ.tuˈna.ðaˈmen.te
importunamente im.poɾˈtu.naˈmen.te
importunar im.poɾ.tuˈnaɾ
importunidad im.poɾ.tu.niˈðað
imposibilidad im.po.si.βi.liˈðað
imposibilitado im.po.si.βi.liˈta.ðo
imposibilitar im.po.si.βi.liˈtaɾ
imposible im.poˈsi.βle
imposiblemente im.poˈsi.βleˈmen.te
impostor im.posˈtoɾ
imprecar im.pɾeˈkaɾ
impregnable im.pɾeɣˈna.βle
impregnar im.pɾeɣˈnaɾ
impremir im.pɾeˈmiɾ
imprenta imˈpɾen.ta
impresa imˈpɾe.sa
imprescindible im.pɾes.sin.ˈdi.βle
impresionar im.pɾe.sjoˈnaɾ
impresor im.pɾeˈsoɾ
imprestable im.pɾesˈta.βle
imprevisible im.pɾe.βiˈsi.βle
imprimar im.pɾiˈmaɾ
imprimidor im.pɾi.miˈðoɾ
imprimir im.pɾiˈmiɾ
impronta imˈpronta
impropio imˈpɾo.pjo
improprio imˈpɾo.pɾjo
improvisador im.pɾo.βi.saˈðoɾ
improvisar im.pɾo.βiˈsaɾ
imprudencia im.pɾu.ˈðen.sja
impugnar im.puɣˈnar
impulsar im pul ˈsar
impulso im.ˈpul.so
impune imˈpu.ne
impunidad im.pu.niˈðað
impuntual im.punˈtwal
impureza im.puˈɾe.sa
impurificar im.pu.ɾi.fiˈkaɾ
imputar im.puˈtaɾ
inalienable i.na.ljeˈna.βle
inane iˈna.ne
inapelable i.na.peˈla.βle
inaugural i.naw.ɰuˈɾal
inca ˈiŋ.ka
incaico inˈkaj.ko
incapacidad iŋ.ka.pa.siˈðað
incapacitar iŋ.ka.pa.si.ˈtaɾ
incauto inˈkaw.to
incendiar in.senˈdjaɾ
incendiario in.senˈdja.ɾjo
incendio inˈsen.djo
incertidumbre in.seɾ.ti.ˈðum.βɾe
incesto inˈses.to
incierto inˈsjeɾ.to
incipiente in.siˈpjen.te
incisivo in.si.ˈsi.βo
inclinador iŋ.kli.naˈðoɾ
inclinar iŋ.kliˈnaɾ
incluir iŋ.kluˈiɾ
inclusa iŋˈklu.sa
inclusero iŋ.kluˈse.ɾo
inclusive iŋ.kluˈsi.βe
inclusivo iŋ.kluˈsi.βo
incoar iŋ.koˈaɾ
incognoscible iŋ.ko(ɰ).nosˈsi.βle
incomodar iŋ.ko.moˈðaɾ
incomodidad iŋ.ko.mo.ðiˈðað
incomparable iŋ.kom.paˈɾa.βle
incomparablemente iŋ.kom.paˈɾa.βleˈmen̪.te
incomparado iŋ.kom.paˈɾa.ðo
incompartible iŋ.kom.paɾˈti.βle
incompasible iŋ.kom.paˈsi.βle
incompasivo iŋ.kom.paˈsi.βo
incompatible in.kom.paˈti.βle
incompensable iŋ.kom.penˈsa.βle
incompetencia iŋ.kom.peˈten.sja
incompetente iŋ.kom.peˈten̪.te
incompletamente iŋ.komˈple.taˈmen̪.te
incomplexo iŋ.komˈple.kso
incomponible iŋ.kom.poˈni.βle
incomunicar iŋ.ko.mu.niˈkaɾ
inconsulto iŋ.konˈsul.to
incontrovertible iŋ.kon.tɾo.βeɾ.ˈti.βle
incorporar in.koɾ.po.ˈɾaɾ
incrasar iŋ.kɾaˈsaɾ
increado iŋ.kɾeˈa.ðo
incredibilidad iŋ.kɾe.ði.βi.liˈðað
incredulidad iŋ.kɾe.ðu.liˈðað
incrementar iŋ.kɾe.menˈtaɾ
incremento iŋ.kɾeˈmen.to
increpar in.kɾeˈpaɾ
incruento iŋˈkɾwen.to
inculcar iŋ.kulˈkaɾ
incultamente iŋˈkul.taˈmen̪.te
incultivable ˌiŋ.kul.tiˈβa.βle
incultivado ˌiŋ.kul.tiˈβa.ðo
inculto iŋˈkul.to
incultura ˌiŋ.kulˈtu.ɾa
incumbencia in.kuɱˈben.sja
incumbir iŋ.kumˈbiɾ
incunable iŋ.kuˈna.βle
incurable iŋ.kuˈɾa.βle
incuria inˈku.ɾja
incursionar iŋ.kuɾ.sjoˈnaɾ
incurvar iŋ.kuɾˈβaɾ
indagar in.daˈɣaɾ
indebido inˈde.βi.ðo
indecible in.deˈsi.βle
indefectible in.de.fekˈti.βle
indehiscente in.de.isˈsen.te
indeliberadamente in̪.de.li.βeˈɾa.ðaˈmen̪.te
indemne inˈdem.ne
independencia in̪.de.pen̪ˈden.sja
independentista in.de.pen.denˈtis.ta
independientemente in̪.ðe.pen̪ˈðjen̪.te.men̪.te
independizar in̪.deˌpen̪.diˈsaɾ
indeterminado in̪.de.teɾ.miˈna.ðo
indevoto in.deˈβo.to
indezuelo in.deˈswe.lo
indiada inˈdja.ða
indiana inˈdja.na
indianista in.djaˈnis.ta
indiano inˈdja.no
indicador in.di.kaˈðoɾ
indicante in.diˈkan.te
indicar in.diˈkaɾ
indicativo in.di.kaˈti.βo
indicio inˈdi.sjo
indiferencia in.di.feˈɾen.sja
indiferente in.di.feˈɾen.te
indignamente in̪ˈdiɣ.naˈmen̪.te
indignar in̪.diɣˈnaɾ
indignidad in̪.diɣ.niˈðað
indio ˈin.djo
indisculpable in.dis.kulˈpa.βle
individualidad in.di.βi.ðwa.liˈðað
individualista in.di.βi.ðwaˈlis.ta
individualmente in̪.di.βiˈdwal.men̪.te
individuo in.diˈβi.dwo
indoeuropeo ˌin.do.ew.ɾoˈpe.o
indolencia in.doˈlen.sja
indomable in.do.ˈma.βle
indonesio in.do.ˈne.sjo
inductivo in.dukˈti.βo
indudablemente in.duˌða.βleˈmen̪.te
indulgente in̯.dulˈxen̯.te
industria inˈdus.tɾja
industrial in.dusˈtɾjal
inefable i.neˈfa.βle
inepcia iˈnep.sja
ineptitud i.nep.ti.tuð
inepto iˈnep.to
inercia iˈneɾ.sja
inescrutable i.nes.kɾuˈta.βle
inesperadamente ĩ.nes.pe.ra.ða.ˈmẽn̦.te
inesperado i.nes.peˈɾa.ðo
inestable i.nesˈta.βle
inevitablemente i.ne.βiˈta.βle.ˌmen.te
inexperto in.eksˈpeɾ.to
inexpresable in.eks.pɾeˈsa.βle
inexpresivo in.eks.pɾeˈsi.βo
inextinguible in.eks.tiŋ.ˈgi.βle
infalible iɱ.faˈli.βle
infancia inˈfan.sja
infante inˈfan.te
infartar in.faɾ.ˈtaɾ
infarto in.ˈfaɾ.to
infatigable iɱ.fa.tiˈɣa.βle
infatigablemente iɱ.fa.tiˈɣa.βleˈmen̪.te
infeccionar iŋ.fek.sjoˈnaɾ
infeccioso in.fekˈsjo.so
infecundarse iɱ.fe.kun̪ˈdaɾ.se
infecundidad iɱ.fe.kun̪.diˈðað
infelicidad in.fe.li.si.ˈðað
infeliz in.fe.ˈlis
inferencia in.fe.ˈɾen.sja
inferioridad in.fe.ɾjo.ɾiˈðað
infernal iɱ.feɾˈnal
infestar iɱ.fesˈtaɾ
inficionar iŋ.fi.sjoˈnaɾ
infidelidad in.fi.ðe.li.ˈðað
infijo inˈfi.xo
infinitesimal in.fi.ˌni.te.si.ˈmal
infinitivo in.fi.ni.ˈti.βo
infinito iɱ.fi.ni.to
inflamable in.fla.ˈma.βle
inflamador in.fla.ma.ˈðoɾ
inflamamiento in.fla.ma.ˈmjen.to
inflamar iɱ.flaˈmaɾ
inflamatorio in.fla.ma.ˈto.ɾjo
inflar iɱˈflaɾ
inflorescencia in.flo.ɾeˈsen.sja
influenza in.fluˈen.sa
informador in.foɾ.maˈðoɾ
informal in.foɾˈmal
informalidad in.foɾ.ma.liˈðað
informar in.foɾˈmaɾ
informatizar iɱ.foɾ.ma.tiˈsaɾ
informe inˈfoɾ.me
infortunadamente iɱ.foɾ.tuˈna.ðaˈmen̪.te
infortunado iɱ.foɾ.tuˈna.ðo
infortunio in.foɾˈtu.njo
infortuno iɱ.foɾˈtu.no
infraganti iɱ.fɾaˈɣan̪.ti
infrahumano ˌin.fɾa.u.ˈma.no
infrautilizar ˌiɱ.fɾaw.ti.liˈsaɾ
infravalorar ˌiɱ.fɾa.βa.loˈɾaɾ
infructuosamente iɱ.fɾukˈtwo.saˈmen̪.te
infructuosidad iɱ.fɾuk.two.siˈðað
infumable in.fuˈma.βle
infundio inˈfun.djo
infundir in.fun̪,diɾ
infusorio in.fu.soˈɾjo
ingeniar in.xeˈnjaɾ
ingeniatura in.xe.njaˈtu.ɾa
ingeniero iŋ.xe.ˈnje.ɾo
ingenio iŋˈxe.njo
ingeniosamente in.xeˈnjo.saˈmen.te
ingeniosidad in.xe.njo.siˈðað
ingenioso in.xeˈnjo.so
ingente iŋˈxen̯.te
ingerir iŋ.xeˈɾiɾ
ingle ˈiŋ.gle
ingratamente iŋˈgɾa.taˈmen̪.te
ingratitud iŋ.gɾa.tiˈtuð
ingrato iŋˈgɾa.to
ingrediente iŋ.gɾeˈðjen.te
ingresar iŋ̩.ɣɾeˈsaɾ
inhabitado in.a.βiˈta.ðo
inherente i.neˈɾen.te
inhibir in.iˈβiɾ
iniciar i.ni.ˈsjaɾ
inicuo iˈni.kwo
inigualable in.i.ɣwaˈla.βle
inigualado in.i.ɣwaˈla.ðo
inimputable ĩˈnĩm.pũ.tã.blẽ
ininteligible in.in.te.liˈxi.βle
ininterrumpido i.nin̪.te.rumˈpi.ðo
iniquidad i.ni.kiˈðað
injeridura iŋ.xe.ɾiˈðu.ɾa
injerir iŋ.xeˈɾiɾ
injuriador iŋ.xu.ɾjaˈðoɾ
injuriamiento iŋ.xu.ɾjaˈmjen̪.to
injuriante iŋ.xuˈɾjan̪.te
injuriar iŋ.xuˈɾjaɾ
injuriosamente iŋ.xuˈɾjo.saˈmen̪.te
injurioso iŋ.xuˈɾjo.so
injustamente iŋˈxus.taˈmen̪.te
injusticia iŋ.xusˈti.sja
injustificable iŋ.xus.ti.fiˈka.βle
injustificadamente iŋ.xus.ti.fiˈka.ðaˈmen̪.te
injusto iŋ.ˈxus.to
inmarcesible im.maɾ.seˈsi.ble
inmaterial in.ma.teˈɾjal
inmediatamente in.meˈðja.taˈmen.te
inmediato in.meˈðja.to
inmensamente inˈmen.saˈmen̪.te
inmensidad in.men.siˈðað
inmenso inˈmen.so
inmerecidamente in.me.ɾeˈsi.ðaˈmen̪.te
inmerecido in.me.ɾeˈsi.ðo
inmeritorio in.me.ɾiˈto.ɾjo
inmigrante in.miˈɣɾan̪.te
inmigrar in.miˈɣɾaɾ
inmiscuir in.mis.kuˈiɾ
inmisericorde in.mi.se.ɾiˈkoɾ.ðe
inmoralidad in.mo.ɾa.liˈðað
inmueble in.ˈmwe.βle
inmune inˈmu.ne
innovador in.no.βaˈðoɾ
innovar in.noˈβaɾ
inocencia i.noˈsen.sja
inocuo iˈno.kwo
inodoro i.noˈðo.ɾo
inopinadamente i.no.pi.na.ða.ˈmen.te
inoxidable i.no.ksiˈða.βle
inquietar iŋ.kjeˈtaɾ
inquietud iŋ.kjeˈtuð
inquinar iŋ.kiˈnaɾ
inquiridor iŋ.ki.ɾiˈðoɾ
inquirir iŋ.kiˈɾiɾ
insacular in.sa.kuˈlaɾ
insalubridad in.sa.lu.βɾiˈðað
insanable in.saˈna.βle
inscribir ins.kɾiˈβiɾ
inscripto insˈkɾip.to
inscrutable ins.kɾuˈta.βle
insectario in.sekˈta.ɾjo
insecto inˈsek.to
insensatez in.sen.saˈtes
insensato in.senˈsa.to
insensibilidad in.sen.si.βi.liˈðað
insensible in.sen.ˈsi.βle
insepulto in.seˈpul.to
inserir in.seˈɾiɾ
insignificancia in.siɣ.ni.fiˈkan̪.sja
insignificante in.siɣˌni.fiˈkan.te
insimular in.si.muˈlaɾ
insinuador in.si.nwaˈðoɾ
insinuante in.siˈnwan̪.te
insinuar in.siˈnwaɾ
insinuativo in.si.nwaˈti.βo
insistente in.sisˈten̪.te
insistentemente in.sisˌten̪.teˈmen̪.te
insistir in.sisˈtiɾ
insolencia in.soˈlen.sja
insolente in.soˈlen̪.te
insolvencia in.solˈβen.sja
insolvente in.solˈβen̪.te
insomne inˈsom.ne
insomnio in.ˈsom.njo
inspeccionar ins.pekˈsjo.naɾ
inspector ins.pekˈtoɾ
inspirar ins.pi.ˈɾaɾ
instante insˈtan̪.te
instaurar ins.tauˈɾaɾ
instintivo ins.tinˈti.βo
instinto ins.ˈtin.to
instituto ins.tiˈtu.to
instructivamente ins.tɾukˈti.βaˈmen̪.te
instructivo ins.tɾukˈti.βo
instructor ins.tɾukˈtoɾ
instrumental ins.tɾu.menˈtal
instrumento ins.tɾuˈmen̪.to
insuficiencia in.su.fiˈsjen.sja
insuficiente in.su.fiˈsjen̪.te
insuflar in̪ .suˈflaɾ
insular in.su.ˈlar
insulina in.suˈli.na
insulso inˈsul.so
insustancial in.sus.tan̪ˈsjal
insustancialmente in.sus.tan̪ˈsjal.men̪.te
integrismo in.te.ˈgɾis.mo
integrista in.te.ˈgɾis.mo
intelectualidad in̪.te.lek.twa.liˈðas
inteligible in.te.li.ˈxi.βle
intendente in̪.ten̪ˈden̪.te
intender in̪.ten̪ˈdeɾ
intensidad in̪.ten.siˈðað
intensivamente in.tenˈsi.βaˈmen.te
intensivo in.tenˈsi.βo
intenso inˈten.so
intentar in.tenˈtaɾ
intentona in.tenˈto.na
intercadente in.teɾ.ka.ˈðen.te
intercambiar in̪.t̪er.kamˈbjaɾ
interesable in.te.ɾeˈsa.βle
interesadamente in.te.ɾeˈsa.ðaˈmen.te
interesado in.te.ɾeˈsa.ðo
interesal in.te.ɾeˈsal
interesante in.te.ɾeˈsan̪.te
interesar in.te.ɾeˈsaɾ
interese in.teˈɾe.se
interferencia in.teɾ.feˈɾen.sja
interferir in̪.teɾ.feˈɾiɾ
interfijo in̪.teɾˈfi.xo
interior in.te.ˈɾjoɾ
interlocutor in.ter.lo.ku.ˈtor
interludio in.teɾˈlu.ðjo
intermaxilar ˌin̪.teɾ.ma.ksiˈlaɾ
intermitente in.teɾ.miˈten.te
internacionalidad in̯.teɾ.na.sjo.na.liˈðað
internacionalismo in.teɾ.na.sjo.naˈlis.mo
interno in.ˈteɾ.no
interpelar in.teɾ.peˈlaɾ
interpretar in.teɾ.pɾe.ˈtaɾ
interracial in.te.raˈsjal
interrogador in̪.te.ro.ɣaˈðoɾ
interrogante in̪.te.roˈɣan̪.te
interrogar in̪.te.roˈɣaɾ
interrogativamente ˌin̪.te.ro.ɣaˈti.βaˈmen̪.te
interrogativo ˌin̪.te.ro.ɣaˈti.βo
interrogatorio in.te.ro.ɣaˈto.ɾjo
interrumpir in̪.te.rumˈpiɾ
interruptor in.te.rupˈtoɾ
intervenir in.teɾ.βeˈniɾ
intestinal in̪.tes.tiˈnal
inti ˈin.ti
intimidad in.ti.miˈðað
intimidar in̪.ti.miˈðaɾ
intocable in.to.ˈka.βle
intracelular ˌin.tɾa.se.luˈlaɾ
intranquilidad in.tɾaŋ.ki.liˈðað
intransitivo in̪ˌtɾan.siˈti.βo
intrascendente in̪.tɾas.sen̪ˈden̪.te
intruso in̪ˈtɾu.so
intuicionismo ˌin.twi.sjoˈnis.mo
intuir in̪.twiɾ
intuitivamente in̪.twiˈti.βaˈmen̪.te
intuitivo in̪.twiˈti.βo
intuito in̪ˈtwi.to
intumescente in.tu.me.ˈsen.te
inundar i.nun̪ˈdaɾ
invadir im.baˈðiɾ
invariable ĩm.ba.ɾja.βle
invariablemente in.ba.ˈɾja.βle.men.te
invenir iɱ.beˈniɾ
inventivo im.ben̪.ˈti.βo
invento im.ˈben.to
inverecundo im.be.ɾeˈkun.do
invernadero in.beɾ.naˈðe.ɾo
invernal im.beɾˈnal
invernar im.beɾˈnaɾ
invertebrado im.beɾ.teˈβɾa.ðo
investigador im.bes.ti.ɣaˈðoɾ
investigar im.bes.tiˈɰaɾ
invicto imˈbik.to
invisibilidad im.bi.si.βi.liˈðað
invisible im.biˈsi.βle
invisiblemente im.biˈsi.βleˈmen.te
invitador imbi.taˈðoɾ
invitar im.biˈtaɾ
invitatorio im.bi.taˈto.ɾjo
invocador im.bo.kaˈðoɾ
invocar im.boˈkaɾ
invocatorio im.bo.kaˈto.ɾjo
involucrar im.bo.luˈkɾaɾ
involuntariamente im.bo.lunˈta.ɾjaˈmen.te
ir iɾ
iracundo i.ɾa.ˈkun.ðo
iris ˈi.ɾis
irracional i.ra.sjoˈnal
irreconocible ˌi.re.ko.noˈsi.βle
irreflexivamente i.re.flekˈsi.βa.men̪.te
irregular i.re.ɰuˈlaɾ
irregularidad i.re.ɰu.la.ɾiˈðað
irrelevancia i.re.leˈβan̪.sja
irrelevante i.re.le.ˈβan.te
irrepetible i.re.pe.ˈti.βle
irrespetar i.res.peˈtaɾ
irrespeto i.resˈpe.to
irrespetuosidad iˌres.pe.two.siˈðað
irrespetuoso i.res.peˈtwo.so
irritabilidad i.ri.ta.βi.li.ˈðað
irritable i.ri.ˈta.βle
irritador i.ri.ta.ˈðoɾ
irritante i.ri.ˈtan.te
isa ˈi.sa
isba ˈis.ba
isla ˈis.la
islam isˈlam
islamismo is.laˈmis.mo
islamita is.laˈmi.ta
islote isˈlo.te
isobara i.soˈβa.ɾa
isquemia is.ˈke.mja
israelita is.ra.eˈli.ta
istmo ˈist.mo
itacate i.taˈka.te
italiano i.ta.lja.no
iterativo i.te.ɾaˈti.βo
izquierda isˈkjeɾ.ða
izquierdista is.kjeɾˈðis.ta
j ˈxo.ta
jaba ˈxa.βa
jabado xaˈβa.ðo
jabardo xa.ˈβaɾ.ðo
jabegote xa.βeˈɣo.te
jabera xaˈβe.ɾa
jabino xaˈβi.no
jaborandi xa.βoˈɾan̪.di
jacal xaˈkal
jacetano xa.seˈta.no
jacinto xa.ˈsin.to
jactancia xakˈtan.sja
jactancioso xak.tanˈsjo.so
jactar xakˈtaɾ
jactura xakˈtu.ɾa
jaculatorio xa.ku.la.ˈto.ɾjo
jada ˈxa.ða
jade ˈxa.ðe
jadear xa.ðeˈaɾ
jadiar xaˈðjaɾ
jaenero xa.eˈne.ɾo
jaez xaˈes
jaguar xaˈɰwaɾ
jai ˈxai
jalar xaˈlaɾ
jalbegue xalˈβe.ɣe
jamacuco ˌxa.maˈku.ko
jamar xaˈmar
jamba ˈxam.ba
jambrar xamˈbɾaɾ
jamelgo xa.ˈmel.ɣo
jaqueca xa.ˈke.ka
jaquir xaˈkiɾ
jarabe xaˈɾa.βe
jarabear xa.ɾaˈβeaɾ
jaral xaˈɾal
jaranero xa.ɾaˈne.ɾo
jarcia ˈxaɾ.sja
jarrazo xaˈra.so
jarro ˈxa.ro
jaspe ˈxas.pe
jata ˈxa.ta
jaula ˈxaw.la
javo ˈxa.βo
jazz ˈʝas
jefa ˈxe.fa
jefatura xe.faˈtu.ɾa
jefe ˈxe.fe
jeme ˈxe.me
jengibre xeŋˈxi.βre
jeque ˈxe.ke
jeribeque xe.ɾiˈβe.ke
jeringa xeˈɾiŋ.ga
jersey xeɾˈsej
jesuita xeˈswi.ta
jeta ˈxe.ta
jienense xjeˈnen.se
jilguero xilˈɰe.ɾo
jimia ˈxi.mja
jimio ˈxi.mjo
jindama xinˈda.ma
jinete xi.ˈne.te
jipi ˈxi.pi
jirafa xiˈɾa.fa
jobo ˈxo.βo
jocosamente xoˈko.saˈmen̪.te
jocoso xoˈko.so
joder xoˈðeɾ
jofaina xoˈfaj.na
joparse xoˈpaɾ.se
jordano xoɾˈða.no
jornalero xoɾ.naˈle.ɾo
jorobado xo.ɾo.ˈβa.ðo
jorobeta xo.ɾo.ˈβe.ta
joropo xoˈɾo.po
jote ˈxo.te
joto ˈxo.to
joven ˈxo.βen
jovial xoˈβjal
jovialidad xo.βja.liˈðað
jovialmente xoˈβjalˈmen̪.te
joya ˈxo.ʝa
joyante xoˈʝan.te
juanete xwaˈne.te
juanetero xwa.neˈte.ɾo
jubete ˈxu.βe.te
jubiloso xu.βiˈlo.so
jubonero xu.βoˈne.ɾo
juco ˈχu.ko
judaizar xu.ðaj.saɾ
judas ˈxu.ðas
judeocristiano xuˌðe.o.krisˈtja.no
judicial xu.ðiˈsjal
juerga ˈχwer.ga
juerguista xu.eɾˈɰis.ta
jueves ˈxwe.βes
jugador xu.ɰaˈðoɾ
jugar xuˈɣaɾ
jugarreta xu.gaˈre.ta
juglar xuˈɤlaɾ
juglaresco xu.ɰlaˈɾes.ko
jugo ˈxu.ɰo
jugosidad xu.ɣo.siˈðað
jugoso xuˈɣo.so
juguete xuˈɰe.te
juicioso ˈxwi.sjo.so
julepear xu.le.peˈaɾ
juma ˈχu.ma
jumento xu.ˈmen.to
juncar xunˈkaɾ
junciana xunˈsja.na
jungla ˈxuŋ.gla
juninense xu.ni.ˈnen.se
junio ˈxu.njo
juntador χun.taˈðoɾ
juntamiento χun.taˈmjen.to
juntar χun'taɾ
juntorio χunˈto.ɾjo
juntura χunˈtu.ɾa
jurador xu.ɾaˈðoɾ
juramentar xu.ɾa.menˈtaɾ
juramento xu.ɾaˈmen.to
jurar xuˈɾaɾ
juratoria xu.ɾaˈto.ɾja
juratorio xu.ɾaˈto.ɾjo
jurisconsulto xu.ɾis.konˈsul̯.to
jurisprudencia xu.ris.pruˈðen.sja
justicia xusˈti.sja
justificar xus.ti.fiˈkaɾ
justipreciar xus.ti.pɾe.ˈsjaɾ
justo ˈxus.to
juvenecer xu.βe.neˈseɾ
juvenil χu.βe.ˈnil
juventud xu.βen̪ˈtuð
juzgar xusˈɰaɾ
k ˈe.fe
kafkiano kafˈkja.no
kamikaze ka.miˈka.se
kan ˈkan
katiuska kaˈtjus.ka
kayak ka.ˈʝak
kelvin ˈkel.βin
keroseno ke.ɾoˈse.no
ketchup ˈket.tʃup
kif ˈkif
kilo ˈki.lo
kilogramo ki.loˈɰɾa.mo
kilolitro ki.lo.ˈli.tɾo
kimono kiˈmo.no
kiosco ˈkjos.ko
kitsch ˈkitʃ
kiwi ˈki.wi
koala koˈa.la
kremlin ˈkɾem.lin
krill ˈkɾil
kurdo ˈkuɾ.ðo
l ˈe.le
la la
labe ˈla.βe
labeo laˈβe.o
laberinto la.βeˈɾin.to
labio ˈla.βjo
laborable la. βoˈɾa. βle
laboral la.βoˈɾal
laborar la.βoˈɾaɾ
laboratorio la.βo.ɾaˈto.ɾjo
labrador laˈβɾa.ðoɾ
labranza laˈβɾan.sa
labrero laˈβɾe.ɾo
laca ˈla.ka
lacedemonio la.se.ðeˈmo.njo
laceria la.seˈɾj.a
lacio ˈla.sjo
laconismo la.ko.ˈniz.mo
lacra ˈla.kɾa
lactancia lakˈtan.sja
lacustre laˈkus.tɾe
ladera laˈðe.ɾa
ladino laˈði.no
lado ˈla.ðo
ladrido laˈðɾi.ðo
ladrillo laˈðɾi.ʎo
lagarta laˈɰaɾ.ta
lagartero la.ɣaɾˈte.ɾo
lagartija la.ɰaɾˈti.xa
lagartijero la.ɣaɾ.tiˈxe.ɾo
lago ˈla.ɣo
lagrimoso la.ɣɾiˈmo.so
lagua ˈla.ɣwa
laguna laˈɰu.na
lagunajo la.ɣuˈna.xo
