aaronita a.a.4o"ni.ta
etiqueta e.ti"ke.ta
etmoides et"moj.Des
etnia "et.nja
etnocentrismo et.no.sen_d"t4is.mo
etopeya e.to"pe.j\a
eucarionte ew.ka"4jon_d.te
eucariota ew.ka"4jo.ta
eufemismo ew.fe"mis.mo
euforia ew"fo.4ja
eugenesia ew.xe"ne.sja
eunuco ew"nu.ko
europeo ew.4o"pe.o
euskera ews"ke.4a
eutanasia eu.ta"na.sja
eutrapelia ew.t4a"pe.lja
eutropelia ew.t4o"pe.lja
evacuante e.Ba"kwan_d.te
evacuar e.Ba"kwa4
evacuativo e.Ba.kwa"ti.Bo
evacuatorio e.Ba.kwa"to.4jo
evadir e.Ba"Di4
evaluador e.Ba.lwa"Do4
evaluar e.Ba"lwa4
evanecer e.Ba.ne"se4
evanescente e.Ba.nes"sen.te
evanescer e.Ba.ne"se4
evangelista e.BaN.ge"lis.tas
evaporar e.Ba.po"4a4
evaporizar e.Ba.po.4i"sa4
evento e"Ben_d.to
evidente e.Bi"Den_d.te
eviscerar e.Bis.se"4a4
evitable e.Bi"ta.Ble
evitar e.Bi"ta4
eviterno e.B i"te4.no
evo "e.Bo
evocar e.Bo"ka4
ex eks
exacerbar ek.sa.se4"Ba4
exactamente e"ksak.ta"men.te
exactitud ek.sak.ti"tuD
exacto e"ksak.to
exageradamente e.ksa.xe"4a.Da"men_d.te
exagerador e.ksa.xe.4a"Do4
exagerar e.ksa.xe"4a4
exagerativamente e.ksa.xe.4a"ti.Ba"men_d.te
exagerativo e.ksa.xe.4a"ti.Bo
examen ek"sa.men
examinador e.ksa.mi.na"Do4
examinando "an_d.do
examinante e.ksa.mi"nan_d.te
examinar ek.sa.mi"na4
exaudir ek.saw"Di4
excandecer eks.kan_d.de"se4
excavador eks.ka.Ba"Do4
excavar eks.ka"Ba4
excelencia ek.se"len.sja
excelso eks"selso
excepcional eks.ep.sjo"nal
exceptuar ek.sep"twa4
excesivo eks.se"si.Bo
exceso ek"se.so
exclamar eks.kla"ma4
exclamativo eks.kla.ma"ti.Bo
exclamatorio eks.kla.ma"to.4jo
excomulgar eks.ko.mul."M\a4
excoriar eks.ko"4ja4
excremento eks.k4e"men_d.to
excusa eks"ku.sa
execrando "an_d.do
exedra eg."se.D4a
exegesis e"x ze.xesis
exentar e.ksen_d"ta4
exhalador e.ksa.la"Do4
exhalar e.ksa"la4
exhausto ek"sawsto
exhibicionismo e.ksi.Bi.sjo"nis.mo
exhibicionista e.ksi.Bi.sjo"nis.ta
exhibir e.ksi"Bi4
exhortar ek.so4"ta4
exhortativo e.kso4.ta"ti.Bo
exhortatorio e.kso4.ta"to.4jo
exhumar eksu"ma4
exigencia ek.si"xen.sja
exiguo ek"si.M\wo
exiliar e.ksi"lja4
eximio ek"si.mjo
eximir e.ksi"mi4
existencia ek.sis"ten.sja
existencial ek.sis.ten"sjal
existencialismo ek.sis.ten.sja"lis.mo
existencialista ek.sis.ten.sja"lis.ta
existente ek.sis"ten_d.te
existir ek.sis"ti4
exoesqueleto %e.kso.es.ke"le.to
exoftalmia ek.sof"tal.mja
exoftalmos ek.sof"tal.mos
exorable ek.so"4a.Ble
exordio e"kso4.Djo
expandir eks.pan_d"di4
expansionar eks.pan.sjo"na4
expatriar eks.pa"t4ja4
expectante eks.pek"tan_d.te
expectorante eks.pek.to"4an_d.te
expectorar eks.pek.to"4a4
expedicionario eks.pe.Di.sjo"na.4jo
expediente eks.pe"djen.te
expedir eks.pe"Di4
expeditamente eks.pe.Di.ta."men.te
experiencia eks.pe."4jen.sja
expiar eks"pja4
expirar es.pi."4a4
explicar eks.pli"ka4
explosivo eks.plo"si.Bo
explotable eks.plo"ta.Ble
explotador eks.plo.ta.Do4
explotar eks.plo"ta4
expoliador eks.po.lja"Do4
expoliar eks.po"lja4
exponedor eks.po.ne"Do4
exponencial eks.po.nen"sjal
exponente eks.po"nen.te
exponer eks.po"ne4
exportador eks.po4.ta"Do4
exportar eks.po4"ta4
expresamente eks"p4e.sa"men_d.te
expresar eks.p4e"sa4
expresionismo eks.p4e.sjo"nis.mo
expresivamente eks.p4e"si.Ba"men_d.te
expresivo eks.p4e"si.Bo
exprimir eks.p4i"mi4
expulsar eks.pul"sa4
exquisitamente eks.ki"si.ta"men_d.te
exquisito ekski"si.to
extasiar eks.ta"sja4
extender eks.ten"de4
extendidamente eks.ten.di.Da"men.te
extendimiento eks.ten.di"mjen.to
extensamente eks.ten.sa"men.te
extensivamente eks.ten.si.Ba"men.te
extensivo eks.ten"si.Bo
extensor eks.ten"so4
extenuar eks.te"nwa4
extenuativo eks.te.nwa"ti.Bo
exterior eks.te"4io4
extinguible eks.tiN."gi.Ble
extinguir eks.tiN"gi4
extintivo eks.tin."ti.Bo
extinto eks."tin.to
extintor eks.tin."to4
extorsionar eks.tor."sjon
extraer eks.t4a"e4
extranjerismo eks.t4aN.xe"4is.mo
extranjero eks.t4an"xe.4o
extraoficial eks.t4a.o.fi."sjal
extraordinariamente eks.t4a.o4.Di"na.4ja"men.te
extraordinario eks.t4a.o4.Di"na.4jo
extrasensorial eks.t4a.sen.so"4jal
extraterrestre eks.t4a.te"res.t4e
extravagancia eks.t4a.Ba"M\an.sja
extravagante %eks.t4a.Ba"M\an.te
extravertido eks.t4a.Be4"ti.Do
extraviar eks.t4a"Bja4
extremo eks"t4e.mo
extrovertido eks.t4o.Be4"ti.Do
exuberancia ek.su.Be"4an.sja
exuberante e.ksu.Be"4an.te
exuberar e.ksu.Be"4a4
eyectar e.j\ek"ta4
f "e.fe
fabada fa"Ba.Da
fabricar fa.B4i"ka4
fabril fa"B4il
fabulosamente fa.Bu"lo.sa"men_d.te
fabuloso fa.Bu"lo.so
faca "fa.ka
faccionar fak.sjo"na4
faccioso fak"sjo.so
fachoso fa"tSo.so
facial fa"sjal
facilidad fa.si.li"DaD
facilillo fa.si"li.ʎo
facilitar fa.si.li"ta4
facistelo fa.sis"te.lo
facistol fa.sis"tol
factible fak"ti.Ble
factorial fak.to"4ial
factura fak"tu.4a
facultad fa.kul"taD
fadiga fa."Di.Ga
fado "fa.Do
fadrubado fa.D4u"Ba.Do
faenar fa.e"na4
faenero fa.e"ne.4o
fagocitar fa.M\o.si."ta4
fagot fa"M\ot
fagotista fa.M\o"tis.ta
faja "fa.xa
falacia fa."la.sia
falansterio fa.lans"te.4jo
falaz fa"las
falcar fal"ka4
falda "fal.da
faldriquera fal.D4i"ke.4a
falencia fa"len.sja
falibilidad fa.li.Bi.li"DaD
falible fa"li.Ble
fallecimiento fa.ʎe.si"mien.to
falo "fa.lo
falsa "fal.sa
falsear fal.se"a4
falsedad fal.se."DaD
falseta fal"se.ta
falsificar fal.si.fi"ka4
falso "fal.so
faltar fal"ta4
faltriquera fal.t4i"ke.4a
fama 'fa.ma
familia fa"mi.lja
familiarizar fa.mi.lja.4i"sa4
familiarmente fa"mi.ljar"men.te
famosamente fa"mo.sa"men_d.te
famoso fa"mo.so
fandango fan"daN.go
fanega fa"ne.Ga
fango "faN.go
fantaseador fan.ta.se.a"Do4
fantasear fan.ta.se"a4
fantasioso fan.ta"sjo.so
fantasma fan"tas.ma
fantoche fan."to.tSe
farero fa"4e.4o
faringe fa."4in.xe
faringitis fa.4in."xi.tis
farmacia fa4"ma.sja
farol fa"4ol
farola fa"4o.la
farrear fa.re"a4
farrista fa"ris.ta
farruco fa"ru.ko
fasces "fas_a.ses_a
fascinante fa.si"nan.te
fascinar fas.si."na4
fascismo fa"Sis.mo
fastidiar fas.ti"Dja4
fatal fa"tal
fatalismo fa.ta."lis.mo
fatalmente fa"tal"men_d.te
fatigadamente fa.ti"Ga.Da"men_d.te
fatigador fa.ti.Ga"Do4
fatigar fa.ti"Ga4
fatigosamente fa.ti"Go.sa"men_d.te
fatigoso fa.ti"Go.so
fatuidad fa.twi"DaD
fausto "faus.to
favela fa."vE.la
favor fa"Bo4
favorable fa.Bo"4a.Ble
favorablemente fa.Bo"4a.Ble"men.te
favorecedor fa.Bo.4e.se"Do4
favorecer fa.Bo.4e"se4
favorido fa.Bo"4i.Do
favoritismo fa.Bo.4i"tis.mo
favorito fa.Bo"4i.to
fax "faks
faz "fas
fe fe
fealdad fe.al"daD
feamente %fe.a"men_d.te
febrera fe"B4e.4a
febrero fe"B4e.4o
febril fe"B4il
febrilmente fe%Bril"men_d.te
fechador fe.ʧa."Dor
feculento fe.ku"len_^.to
fecundable fe.kun_d"da.Ble
fecundador fe.kun_d.da"Do4
fecundamente fe%kun_d%.da"men_d.te
fecundar fe.kun_d"da4
fecundativo fe.kun_d.da"ti.Bo
fecundidad fe.kun_d.di"DaD
fecundizar fe.kun_d.di"sa4
federal fe.De"4al
federalismo fe.De.4a"lis.mo
feldespato fel.des"pa.to
felicidad fe.li.si"DaD
felino fe"li.no
feliz fe"lis
felpa "fel.pa
femenino fe.me."ni.no
fementido fe.men_d"ti.do
feminismo fe.mi"nis.mo
feminista fe.mi"nis.ta
fenecer fe.ne"se4
fenicio fe"ni.sjo
fenol fe."nol
fenotipo fe.no."ti.po
feo "fe.o
feria "fe.4ja
ferino fe"4i.no
ferir fe"4i4
fermentar fe4.men_^"ta4
fernandino fer.naN."di.no
ferocidad fe.4o.si."DaD
ferradura fe.ra"Du.4a
ferrar fe"ra4
ferretero fe.re"te.4o
ferrocarril fe.ro.ka."ril
ferrolano fe.ro"la.no
ferroso fe"ro.so
ferroviario fe.ro"Bja.4jo
ferry "fe.ri
fertilidad fe4.ti.li"DaD
fertilizar fe4.ti.li"sa4
festivamente fes"ti.Ba"men_d.te
festividad fes.ti.Bi"DaD
festivo fes"ti.Bo
feta "fe.ta
fetichismo fe.ti"tSis.mo
fetichista fe.ti"tSis.ta
feudalismo few.Da"lis.mo
fi fi
fiambrera fjam"b4e.4a
fianza 'fjan.sa
fiar fi"a4
fibrosis fi"B4o.sis
fibroso fi."B4o.so
ficar fi."ka4
fichar fi"tSa4
ficticio fik"ti.sjo
fidedigno fi.De"DiG.no
fideicomiso fi.Dej.ko"mi.so
fidelidad fi.De.li"DaD
fideo fi."De.o
fiduciario fi.Du"sja.4jo
fiebre "fje.B4e
fiel "fjel
fieramente %fje.4a."men.te
fiereza fje."4e.sa
fiero "fje.4a
fiesta "fjes.ta
fiestero fjes"te.4o
figulino fi.M\u"li.no
fijeza fi."xe.sa
fila "fi.la
filacteria fi.lak"te.4ja
filamento fi.la."men.to
filatelia fi"la.te lia
filatelista fi.la.te"lis.ta
filial fi"ljal
filibustero fi.li.Bus."te.4o
filmoteca fil.mo"te.ka
filosa fi"lo.sa
filoso fi"lo.so
filosofastro fi.lo.so"fas.t4o
filudo fi"lu.Do
finado fi"na.Do
final fi"nal
finalidad fi.na.li"DaD
finalista fi.na"lis.ta
finalizar fi.na.li"sa4
finalmente fi"nal"men.te
finamente "fi.na"men_d.te
finca "fiN.ka
fingir fiN"xi4
fintar fin_d"ta4
fintear fin_d.te"a4
firmal fi4"mal
firmamento fi4.ma"men.to
firmar fi4"ma4
firme "fi4.me
firmemente "fi4.me"men.te
firmeza fi4"me.sa
fiscal fis"kal
fisco "fis.ko
fisgador fis.Ga"Do4
fisgar fis"Ga4
fisgonear fis.Go.ne"a4
fisionable fi.sjo"na.Ble
fisionar fi.sjo"na4
fisioterapia fi.sjo.te"4a.pja
fitoplancton fi.to"plaN.kton
fitosanitario %fi.to.sa.ni"ta.4jo
flacamente "fla.ka"men_d.te
flaco "fla.ko
flacuchento fla.ku"ʧen_d.to
flacucho fla"ku.ʧo
flagelador fla.xe.la"Do4
flagelar fla.xe"la4
flagrancia fla"G4an.sja
flagrante fla"G4an_d.te
flagrar fla"G4a4
flamante fla"man.te
flamear fla.me"a4
flamero fla"me.4o
flan "flan
flanco "flaN.ko
flaquear fla.ke"a4
flauta "flau_^.ta
flavo "fla.Bo
flebitis fle."Bi.tis
flechadura fle.tSa"Du.4a
fleje "fle.xe
flema "fle.ma
flemoso fle"mo.so
flexibilizar fle.ksi.Bi.li"sa4
flexible fle"ksi.Ble
flexivo flek"si.Bo
flictena flik"te.na
flipar fli."pa4
flirtear fli4.te"a4
flojear flo.xe"a4
flor flo4
florar flo"4a4
florido flo"4i.Do
florilegio flo.4i"le.xio
flotar flo"ta4
flote "flo.te
fluctuar fluk.tu"a4
flueco "flue.ko
fluidez flwi"Des
fluir flu"i4
fluminense flu.mi"nen.se
fobia "fo.Bja
foca "fo.ka
focal fo"kal
foco "fo.ko
fofo "fo.fo
fogonadura fo.Go.na"Du.ra
fogosidad fo.M\o.si."DaD
folclor fol"klo4
folclore fol"klo.4e
folclorista fol.klo"4is.ta
folicular fo.li.ku"la4
folio "fo.ljo
foliolo fo"ljo.lo
fomentar fo.men"ta4
fondeadero fon.̦de.a"De.4o
fondear fon.de."a4
fondo "fon.d_do
fonema fo"ne.ma
fonil fo"nil
fonje "fon.xe
fonoteca fo.no"te.ka
foque "fo.ke
forajido fo.4a"xi.Do
forano fo"4a.no
forestal fo.4es"tal
forestar fo.4es"ta4
forja "fo4.xa
formable fo4"ma.Ble
formador fo4.ma"Do4
formadura fo4.ma"Du.4a
formal fo4"mal
formalidad fo4.ma.li"DaD
formalmente fo4"mal"men.te
formar fo4"ma4
formatear fo4.ma.te"a4
formativo fo4.ma"ti.Bo
formato fo4"ma.to
formatriz fo4.ma"t4is
formidable fo4.mi."Da.Ble
fornecer for.ne"se4
fornecimiento for.ne.si"mjen_d.to
fornecino fo4.ne"si.no
fornicar fo4.ni"ka4
fornido fo4"ni.Do
forrar fo"ra4
forro "fo.ro
fortalecedor fo4.ta.le.se"Do4
fortalecer fo4.ta.le"se4
fortalecimiento fo4.ta.le.si"mjen.to
fortaleza fo4.ta"le.sa
fortificar fo4.ti.fi"ka4
fortuito fo4"twi.to
fortunado fo4.tu"na.Do
fortunal fo4.tu"nal
fortunio fo4"tu.njo
fortuno for"tu.no
fortunoso for.tu"no.so
forzamiento fo4.sa"mjen.to
forzar fo4"sa4
fosa "fo.sa
fosario fo"sa.4jo
fosfeno fos"fe.no
fosforecer fos.fo.4e"se4
fosforescente fos.fo.4e."sen.te
fosforescer fos.fo.4e"se4
foto "fo.to
fotocopiador fo.to.ko.pja"Do4
fotocopiar fo.to.ko"pja4
fotograma fo.to"G4a.ma
fotolitografiar %fo.to.li.to.G4a"fja4
fotolitografista %fo.to.li.to.G4a"fis.ta
fotosensible fo.to.sen"si.Ble
fototipia fo.to"ti.pja
fotuto fo"tu.to
frac "f4ak
fracasar f4a.ka"sa4
fraccionar f4ak.sjo"na4
fracturar f4ak.tu"4a4
fragancia f4a"Gan.sja
fragmento f4aM\"men.to
fragor f4a"M\o4
fragrancia f4a"G4an.sja
fragrante f4a"G4an_d.te
fraguado f4a"gwa.Do
fraile "f4aj.le
frailuco f4aj"lu.ko
francachela f4aN.ka"t͡Se.la
franco "f4aN.ko
francolino f4aN.ko."li.no
franela fra'ne.la
frangir f4aN"gi4
franqueza f4aN."ke.sa
franquicia f4aN"ki.sja
franquismo f4aN"kis.mo
franquista f4aN"kis.ta
fraternal f4a.te4"nal
fraternidad f4a.te4.ni"DaD
fraude "f4aw.De
fray "f4aj
frecuencia f4e"kwen.sja
frecuente f4e"kwen_d.te
fregar f4e."M\ar
freile "f4ej.le
frenar f4e".na4
freno "f4e.no
frente "f4en.te
fresno "f4es.no
frey "f4ej
frialdad f4jal"daD
fricar f4i"ka4
friccionar f4ik.sjo"na4
frigidez f4i.xi"Des
friolento f4i.o"len.to
friolero fri.o"le.4o
fritanga f4i"taN.ga
fritura f4i"tu.4a
friulano f4ju."la.no
frondoso f4on"do.so
frontal f4on"tal
frontispicio f4on_d.tis"pi.sio
frotar f4o"ta4
frotis "f4o.tis
fructificar f4uk.ti.fi"ka4
fructosa f4uk"to.sa
fructuoso fruk"two.so
frugal f4u"Gal
frui "f4wi
fruir f4wi4
fruncir f4un"si4
fruta "fru.ta
frutecer f4u.te"se4
frutero f4u"te.4o
frutilla f4u"ti.j\a
fruto "f4u.to
fucsia "fuk.sja
fuego "fwe.M\o
fuente "fwen_+.te
fueras "fwe.4as
fuerero fwe"4e.4o
fugar fu"Ga4
fugaz fu"Gas
fulcir ful"si4
fulcro "p\ul.k4o
fulgente ful"xen_d.te
fulgir ful"xi4
fulgor ful"Go4
fulgurante ful.Gu"4an.te
fulgurar ful.gu"4a4
fulguroso ful.gu"4o.so
fullero fu"j\e.4o
fumador fu.ma"Do4
fumante fu."man.te
fumar fu"ma4
fumigar fu.mi"Ga4
funcional fun.sjo"nal
fundamentar fun.Da.men"ta4
fundar fun"da4
fundo "fun_d.do
fungible fun"xi.Ble
funicular fu.ni.ku."la4
furcia "fu4.sja
furgoneta fu4.M\o."ne.ta
furia "fu.4ja
furiosamente fu"4jo.sa"men_d.te
furioso fu"4jo.so
furtivamente fu4."ti.Ba.%men.te
furtivismo fu4.ti."Bis.mo
furtivo fu4."ti.Bo
fuselaje fu.se"la.xe
fusil fu"sil
fusta "fus.ta
fustal fus"tal
fuste "fus.te
futbol fut."Bol
futbolista fut.Bo"lis.ta
futilidad fu.ti.li"DaD
futura fu"tu.4a
futurismo fu.tu"4is.mo
futurista fu.tu"4is.ta
futuro fu"tu.4o
g "Ge
gabacho ga"Ba.tSo
gabardina ga.Ba4."Di.na
gabarro ga"Ba.ro
gabejo ga'Be.xo
gacela ga"se.la
gacha "ga.tS͡a
gadolinio ga.Do."li.njo
gafe "ga.fe
gafete ga."fe.te
gago "ga.Go
gaita "gaj.ta
gal gal
galamperna ga.lam"pe4.na
galapaguera ga.la.pa"Ge.4a
galardonar ga.la4.Do"na4
galbanado gal.Ba"na.Do
galbanero gal.Ba"ne.4o
galbanoso gal.Ba"no.so
galdudo gal"du.Do
galea ga"le.a
galeato ga"lea.to
galeaza ga.le"a.sa
galega ga"le.M\a
galenismo Ga.le"nis.mo
galeno ga"le.no
galeota ga.le"o.ta
galeote ga.le"o.te
galeoto ga.le."o.to
galera ga"le.4a
galerero Ga.le"4e.4o
galerita ga.le"4i.ta
galerna ga"le4.na
galerno ga"le4.no
galfarro gal"fa.ro
galianos ga"lja.nos
galibar ga.li"Ba4
galicado ga.li"ka.Do
galicoso Ga.li"ko.so
galima ga"li.ma
galimar ga.li"ma4
galio "ga.ljo
galizabra ga.li"sa.B4a
gallego ga"ʎe.M\o
galleta ga."ʎe.ta
galoneador ga.lo.ne.a"Do4
gambaj gam"bax
gambax gam"bax
gamberro gam."be.ro
gambeta "gam.be.ta
gambuj kam"bux
gameto ga"me.to
gamo "ga.mo
gamusino ga.mu."si.no
gamuza ga"mu.sa
gamuzado ga.mu"sa.Do
ganable ga"na.Ble
ganada ga"na.Da
ganadero ga.na"De.4o
ganador ga.na"Do4
ganancia ga"nan.sja
ganancial ga.nan"sja.les
gananciero ga.nan"sje.4o
ganancioso ga.nan"sjo.so
ganar ga"na4
gancho "gaN.t͡So
ganglio "gaN.gljo
ganglionar gaN.gljo."na4
gangocho gaN"M\o.ʧo
gangoso gaN"go.so
gangrena gaN"g4e.na
ganguear gaN.ge"a4
ganoso ga"no.so
ganso "gan.so
garabato ga.4a."Ba.to
garaje ga.'4a.xe
garantir ga.4an_d"ti4
garantizador Ga.4an_d.ti.sa"Do4
garantizar ga.4an_d.ti"sa4
garbanzo ga4"Ban.so
garbar ga4"Ba4
garita ga."4i.ta
garlocha ga4"lo.tSa
garra "ga.ra
garrafa ga"ra.fa
garrafal ga.ra"fal
garrar ga"ra4
garrear ga.re"a4
garrochar Ga.ro"tSa4
garrochazo ga.ro"tSa.so
garrochear ga.ro.tSe"a4
garrochista ga.ro"tSis.ta
garrucha ga"ru.tSa
garuar ga.4u"a4
garufa ga"4u.fa
gas "gas
gasa "ga.sa
gasajar ga.sa"xa4
gasajoso ga.sa"xo.so
gaseoso ga.se."o.so
gasificar ga.si.fi"ka4
gasolina ga.so."li.na
gasolinera ga.so.li."ne.4a
gastar gas"ta4
gastralgia gas"t4al.xia
gastritis gas."t4i.tis
gata "ga.ta
gatas "ga.tas
gatera ga"te.4a
gatero ga"te.4o
gato "ga.to
gaucho "gaw.tSo
gavanzo ga"Ban.so
gaviero ga"Bje.4o
gavilla ga'Bi.La
gavillar ga.Bi"ʎa4
gavillero ga.Bi"ʎe.4o
gaviota ga"Bjo.ta
gayo "ga.j\o
gayola ga"j\o.la
gaznate gas"na.te
ge xe
geisha "gej.Sa
gel "xel
gelatina xela"ti.na
gelatinoso xe.la.ti"no.so
gemela xe"me.la
gemelo xe"me.lo
gemiquear xe.mi.ke."a4
gemir xe."mi4
gen xen
gendarme xen"da4.me
generador xe.ne.4a"Do4
general xe.ne"4al
generala xe.ne"4a.la
generalato xe.ne.4a"la.to
generalidad xe.ne.4a.li"DaD
generalizable xe.ne.4a.li"sa.Ble
generalizador xe.ne.4a.li.sa"Do4
generalizar xe.ne.4 a.li"sa4
generalmente xe.ne4al"men.te
generar xe.ne"4a4
generosamente xe.ne"4o.sa"men_d.te
generosidad xe.ne.4o.si"DaD
generoso xe.ne"4o.so
genial xe"njal
genialidad xe.nja.li"DaD
genialmente xe"njal"men.te
geniazo xe"nja.so
genio "xe.njo
genista xe"nis.ta
genital xe.ni"tal
genitivo xe.ni"ti.Bo
geno "xe.no
genoma xe."no.ma
genotipo xe.no."ti.po
gente "xen_d.te
gentil xen"til
gentileza xen.ti"le.sa
geodesia xe.o"De.sja
geodesta xe.o"Des.ta
geofagia xe.O"fa.xi.a
geogenia xe.O"xe.ni.a
georgiano xeor."xja.no
geranio xe"4a.njo
germanio xe4"ma.njo
germen "xe4.men
germinar xe4.mi"na4
gerundio Xe."4un.djo
gerundivo xe.4un"di.Bo
gestadura xes.ta"Du.4a
gestante ges"tan_d.te
gestar ges"ta4
gestatorio xes.ta"to.4jo
gestear %xes.te"a4
gestero xes"te.4o
gesticulador xes.ti.ku.la"Do4
gesticulante xes.ti.ku"lan_d.te
gesticuloso xes.ti.ku"lo.so
gestionar xes.tjo"na4
gestor xes"to4
gestual xes"twal
gestualidad xes.twa.li"DaD
gestudo xes"tu.Do
giganteo xi.Gan_d"te.o
gigantesco xi.Gan_d"tes.ko
gilipollas xi.li"po.ʎas
gimotear xi.mo.te"a4
ginebra xi"ne.B4a
ginebrada xi.ne"B4a.Da
ginebrino xi.ne"B4i.no
gineceo gi"ne.seo
ginefobia xi.ne."fo.Bja
girar xi"4a4
girasol xi.4a"sol
girola xi"4o.la
giroscopio xi.4os"ko.pjo
giste "xis.te
gitano xi"ta.no
glabro "gla.B4o
glacis "gla.sis
glamouroso gla.mu"4o.so
glande "glan.de
glaseado gla.se"a.Do
gliptoteca glip.to"te.ka
globo "glo.Bo
glorieta glo."4je.ta
glorificar glo.4i.fi"ka4
glosario glo"sa.4jo
glosopeda glo.so."pe.Da
glotis "glo.tis
gluten "glu.ten
glutinoso glu.ti"no.so
gnomo "(g)no.mo
gobernable go.Be4"na.Ble
gobernador go.Be4.na"Do4
gobernadorcillo go.Be4.na.Do4"si.ʎo
gobernamiento go.Be4.na"mjen.to
gobernante go.Be4"nan_d.te
gobernanza go.Be4"nan.sa
gobernar go.Be4"na4
gobernativo go.Be4.na"ti.Bo
gobernoso go.Be4"no.so
gobierno go"Bje4.no
gobio "go.bjo
goce "go.se
gocho "ɡo.t͡So
godo "ɡoDo
gofio "go.fjo
gol "gol
gola "go.la
goleta go"le.ta
golf Golf
golfante gol"fan_d.te
golfo "gol.fo
goliardo go"lia4.Do
golondrina ɡo.lon_d"d4i.na
golosina go.lo"si.na
goloso go"lo.so
golpe "gol.pe
golpear gol.pe"a4
goma "go.ma
gomera go"me.4o
gonorrea go.no"rea
gorda "go4.Da
gordo "go4.Do
gorgoritear go4.Go.4i.te"a4
gorgorito go4.Go"4i.to
gorra go"ra
gorrino go"ri.no
gorro "go.ro
gotera go"te.4a
gozar go"sa4
gozne "gos.ne
grabar ɡra"Bar
gracejar g4a.se"xa4
gracia "g4a.sja
graciable g4a"sja.Ble
graciado g4a"sja.Do
graciano g4a"sja.no
gracilidad g4a.si.li"DaD
graciola g4a"sjo.la
graciosamente g4a"sjo.sa"men_d.te
graciosidad g4a.sjo.si"DaD
gradilla g4a"Di.ʎa
grafema g4a."fe.ma
grafio "g4a.fjo
grama "g4a.ma
gramaje g4a"ma.xe
gramatical g4a.ma.ti."kal
gramaticalidad %g4a.ma.ti.ka.li"DaD
gramaticalmente g4a.ma.ti"kal"men_d.te
gramo "g4a.mo
granada g4a"na.Da
granate g4a."na.te
granda "g4an_d.da
grande "g4an.de
grandemente "g4an_d.de"men_d.te
grandilocuencia g4an_d.di.lo"kwen.sja
grandiosidad g4an.djo.si."DaD
grandioso g4an."djo.so
grandor g4an_d"do4
grandura g4an_d"du.4a
granizo g4a"ni.so
granja "g4aN.xa
granuja g4a"nu.xa
granujado g4a.nu"xa.Do
granuloso g4a.nu"lo.so
grapa "g4a.pa
grasa "g4a.sa
gratamente "g4a.ta"men_d.te
gratar g4a"ta4
gratificador g4a.ti.fi.ka"Do4
gratificante g4a.ti.fi"kan_d.te
gratificar g4a.ti.fi"ka4
gratis "g4a.tis
gratisdato g4a.tis"da.to
gratitud g4a.ti"tuD
gratuidad g4a.twi"DaD
gratuitamente g4a"twi.ta"men_d.te
gratuito g4a"twi.to
grave "g4a.Be
gravedad g4a.Be"Dad_d
gravitacional g4a.Bi.ta.sjo"nal
gravitar g4a.Bi"ta4
gravitatorio g4a.Bi.ta"to.4jo
graznido g4as"ni.Do
gremio "g4e.mjo
grenchudo g4eJ"t͡Su.Do
grey "g4ej
grial g4i"al
griego "g4je.M\o
grieta "g4je.ta
grifa "g4i.fa
grifo "g4i.fo
gringo "g4iN.go
gripa "g4i.pa
gripe "g4i.pe
gris g4is
gritadera g4i.ta"De.4a
gritador g4i.ta"Do4
gritar g4i"ta4
gritonear g4i.to.ne"a4
groar g4o"a4
grogui "g4o.Gi
groseramente g4o"se.4a"men_d.te
grosero g4o"se.4o
grueso "g4we.so
gruir g4u"i4
grujidor g4u.xi"Do4
grujir gru"xi4
grulla "g4u.ʎa
grumete g4u"me.te
grumoso g4u"mo.so
grupa "g4u.pa
grupal g4u"pal
gruta "G4u.ta
guaca "gwa.ka
guacal gwa."kal
guacamole gwa.ka"mo.le
guachalomo gwa.tSa"lo.mo
guacho "gwa.tSo
guagua "gwa.M\wa
guaina "gwaj.na
guairabo gwaj"4a.Bo
guaje "gwa.xe
guajiro gwa"xi.4o
guajolote gwa.xo"lo.te
gualda "gwal.Da
gualdrapa gwal"D4a.pa
guampa "wam.pa
guanaco gwa"na.ko
guanajo M\wa."na.Xo
guanche "gwan.tSe
guante "gwan.te
guantera Gwan_d"te.4a
guantero Gwan_d"te.4o
guapear gwa.pe"a4
guapo "gwa.po
guara "gwa.4a
guaracha gwa"4a.t∫a
guarache (g)wa"4a.tSe
guaraguao (g)wa.4a"(g)wa.o
guarao wa."4a.o
guarda "gwa4.Da
guardabanderas gwa4.Da.Ban"de.4as
guardable gwa4"Da.Ble
guardabosque gwa4.Da"Bos.ke
guardabrazo gwa4.Da"b4a.so
guardacabo gwa4.Da"ka.Bo
guardacabras %Gwa4.Da"ka.B4as
guardacalada gwa.Da.ka"la.Da
guardacartuchos gwa4.Da.ka4"tu.tSos
guardacostas gwa4.Da"kos.tas
guardadamas gwa4.Da"Da.mas
guardador gwa4.Da"Do4
guardafrenos gwa4.Da"f4e.nos
guardafuego gwa4.Da"fwe.M\o
guardaguas gwa4"Da.gwas
guardainfante gwa4.Da.in"fan.te
guardajoyas gwa4.Da"xo.j\as
guardalado gwa4.Da"la.Do
guardalobo %gwa4.da"lo.Bo
guardamangel gwa4.Da.man"xel
guardamangier gwa4.Da.man"xje4
guardamano gwa4.Da"ma.no
guardamateriales %ɡwa4.Da.ma.te"4ja.les
